listingName,producerID,bottler,originCountry,drinkType,typeCategory,age,abv,reviewLink,officialDesc,sourceLink,photo
Trinidad TDL 2002,65c62d54876f110ab72a2aa9,The Wild Parrot,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),20,59.10%,https://88bamboo.co/blogs/rum-reviews/the-wild-parrot-trinidad-tdl-2002-20-year-old-59-1-abv,,,
TDL 1991 'Black Bart' Golden Age of Piracy,65c62d54876f110ab72a2aa9,Distilia,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),31,62.70%,https://88bamboo.co/blogs/rum-reviews/three-pirates-walk-into-a-bar-distilia-tdl-1991-black-bart-diamond-1996-captain-benjamin-hornigold-grenada-westerhall-1993-edward-low-golden-age-of-piracy,,,
Trinidad 1991,65c62d54876f110ab72a2aa9,Silver Seal,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),20,50.00%,,,,
Trinidad 19 Ans Single Cask for Auld Alliance and Colheitas,65c62d54876f110ab72a2aa9,Compagnie des Indes,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),19,59.10%,https://88bamboo.co/blogs/rum-reviews/compagnie-des-indes-tdl-2003-trinidad-rum-19-years-old-single-cask-for-the-auld-alliance-and-colheitas-59-1-abv,,,
Trinidad 18 Ans Single Cask for Auld Alliance and Colheitas,65c62d54876f110ab72a2aa9,Compagnie des Indes,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),18,58.80%,https://88bamboo.co/blogs/rum-reviews/compagnie-des-indes-tdl-2003-trinidad-rum-18-years-old-single-cask-for-the-auld-alliance-and-colheitas-58-8-abv,,,
"Trinidad 2002 Rum, Nanyang Whisky The Peninsula Collection II",65c62d54876f110ab72a2aa8,Nanyang Whisky / REJO Beverages,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),20,60.90%,https://88bamboo.co/blogs/whisky-reviews/nanyang-whisky-the-peninsula-collection-ii-secret-speyside-1997-ben-nevis-1996-tdl-trinidad-2002-rum,,,
Teeling Single Cognac Cask Finish #16615 - Tudor House Ltd 25th Anniversary Edition,65c62d54876f110ab72a2aaa,OB,Ireland,Whiskey / Whisky,Single Malt,15,56.20%,https://88bamboo.co/blogs/whisky-reviews/teeling-whiskey-15-years-old-single-cognac-cask-finish-16615-tudor-house-ltd-25th-anniversary-edition-ob-15-years-old-limited-release,,,
Sassicaia 2011,65c62d54876f110ab72a2aab,OB,Italy,Wine (Grape wine),Red Wine - Blend of Varietals,N.A.,13.00%,,,,
Sassicaia 2013,65c62d54876f110ab72a2aab,OB,Italy,Wine (Grape wine),Red Wine - Single Varietal,N.A.,13.50%,,,,
Sassicaia 2014,65c62d54876f110ab72a2aab,OB,Italy,Wine (Grape wine),Red Wine - Blend of Varietals,N.A.,,,,,
Limited Edition 10 Vendemmie N.V.,65c62d54876f110ab72a2aac,OB,Italy,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.50%,,,,
Terras Gauda O'Rosal 2021,65c62d54876f110ab72a2aae,OB,Spain,Wine (Grape wine),White Wine - Single Varietal,N.A.,12.50%,,,,
Ijjewoolinn (O2 Linn) 이제우린,65c62d54876f110ab72a2aaf,OB,South Korea,Soju,Modern,NAS,16.50%,-,https://www.mackisscompany.co.kr/english/ijewoolinn,,
Ijewoolinn High (O2 Linn High) 이제우린 高,65c62d54876f110ab72a2aaf,OB,South Korea,Soju,Modern,NAS,20.20%,-,https://www.mackisscompany.co.kr/english/ijewoolinn,,
Ijewoolinn Damgeumju 이제우린 담금주,65c62d54876f110ab72a2aaf,OB,South Korea,Soju,Modern,NAS,25.00%,-,https://www.mackisscompany.co.kr/english/ijewoolinn,,
Sunyang Soju 선양 소주,65c62d54876f110ab72a2aaf,OB,South Korea,Soju,Modern,NAS,14.90%,-,"즐거운 시간, 더 편하게 오래 누릴 수 있도록, 도수와 칼로리는 내리고 깔끔함은 올렸습니다.",,
Linn 21 Barley Soju 린21 보리소주,65c62d54876f110ab72a2aaf,OB,South Korea,Soju,Modern,NAS,21.00%,-,Delivers a deep and rich taste and aroma of barley by addingthe undiluted distilled solution acquired from 100% Korean barley.,,
Sarak 사락,65c62d54876f110ab72a2aaf,OB,South Korea,Soju,Barrel Aged,NAS,33.00%,-,Sarak is a premium spirit made by blending barley distillate matured in oak barrels.,,
"Thomson Whisky Manuka Wood Smoke ""Progress Report""",65c62d54876f110ab72a2ab5,OB,New Zealand,Whiskey / Whisky,Single Malt,NAS,46%,https://88bamboo.co/blogs/whisky-reviews/thomson-whiskies-head-to-head-thomson-manuka-wood-smoke-single-malt-progress-report-46-abv-and-thomson-pinot-noir-cask-single-malt-48-abv,,,
Thomson Whisky Pinot Noir Cask,65c62d54876f110ab72a2ab5,OB,New Zealand,Whiskey / Whisky,Single Malt,NAS,48.00%,https://88bamboo.co/blogs/whisky-reviews/thomson-whiskies-head-to-head-thomson-manuka-wood-smoke-single-malt-progress-report-46-abv-and-thomson-pinot-noir-cask-single-malt-48-abv,,,
Palomino Fino Sherry (Muy Seco) N.V.,65c62d54876f110ab72a2ab0,OB,Spain,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry)",N.A.,15.00%,,,,
Tito’s Handmade Vodka,65c62d54876f110ab72a2ab1,,United States,Vodka,Classic,,40.00%,https://88bamboo.co/blogs/everything-nice/tito-s-handmade-vodka,"Tito’s Handmade Vodka is produced in Austin at Texas’ oldest legal distillery. They make it in batches, use old-fashioned pot stills, and taste-test every batch.",,
"Ledaig Peated Malt 1998 15 Years Old, Blackadder Raw Cask",65c62d54876f110ab72a2ab3,Blackadder,Scotland,Whiskey / Whisky,Single Malt,15,63.90%,https://88bamboo.co/blogs/whisky-reviews/ledaig-15-year-old-63-9-abv-blackadder-raw-cask-series,,,
"Ledaig 1997 24 Years Old, Blackadder Statement Edition",65c62d54876f110ab72a2ab3,Blackadder,Scotland,Whiskey / Whisky,Single Malt,24,58.20%,https://88bamboo.co/blogs/whisky-reviews/1997-ledaig-from-tobermory-24-years-old-single-malt-blackadder-statement-edition-58-2-abv,,,
Tobermory 1994 27 Years Old Sherry Butt Cask No. 5118,65c62d54876f110ab72a2ab3,The Single Cask,Scotland,Whiskey / Whisky,Single Malt,27,43.50%,https://88bamboo.co/blogs/whisky-reviews/tobermory-27-years-old-1994-sherry-butt-cask-no-5118-the-single-cask-43-5-abv,,,
"Ledaig 2005, ""Begin Again"" Foursquare Rum Cask Finish",65c62d54876f110ab72a2ab3,"Malt, Grain & Cane",Scotland,Whiskey / Whisky,Single Malt,16,58.70%,https://88bamboo.co/blogs/whisky-reviews/ledaig-2005-16-years-old-foursquare-rum-cask-finish-58-7-abv-bottled-by-malt-grain-cane,"This Hogshead barrel was reracked into a Barbados Rum barrel (Foursquare Distillery) on 10-Nov-2021. It was finished in this rum barrel, for another 8 months. This also marks, the final bottling of Malt, Grain & Cane's 2nd Year (2022) bottles.",,
Tokki Soju White Label,65c62d54876f110ab72a2ab2,OB,United States,Soju,Craft,NAS,23.00%,-,-,,
Tokki Soju Black Label,65c62d54876f110ab72a2ab2,OB,United States,Soju,Craft,NAS,40.00%,https://88bamboo.co/blogs/features/trojan-horse-in-a-bottle-we-learnt-why-tokki-soju-is-winning-over-hearts-from-brooklyn-to-seoul?_pos=14&_sid=4108b60c7&_ss=r,-,,
Tokki Soju Gold Label,65c62d54876f110ab72a2ab2,OB,United States,Soju,Barrel Aged,NAS,46.00%,https://88bamboo.co/blogs/features/trojan-horse-in-a-bottle-we-learnt-why-tokki-soju-is-winning-over-hearts-from-brooklyn-to-seoul?_pos=14&_sid=4108b60c7&_ss=r,-,,
Tomatin 50 Years Old,65c62d54876f110ab72a2ab4,OB,Scotland,Whiskey / Whisky,Single Malt,50,44.00%,https://88bamboo.co/blogs/whisky-reviews/tomatin-50-years-old-single-malt-125th-anniversary-44-abv,"Following 50 years of maturation here at the Tomatin Distillery, cask number 30040 has been bottled in its most natural form yielding just 125 special bottles to celebrate our distillery’s 125th anniversary.",,
Topanito Espadin Mezcal Artesanal Blanco,65c62d54876f110ab72a2ab6,OB,Mexico,Mezcal,Blanco,,49.00%,https://88bamboo.co/blogs/tequila-mezcal-reviews/topanito-espadin-mezcal-artesanal-blanco-52-abv,,,
RunRig 2009,65c62d54876f110ab72a2ab8,OB,Australia,Wine (Grape wine),Red Wine - Single Varietal,N.A.,13.50%,,,,
Descendant 2018,65c62d54876f110ab72a2ab8,OB,Australia,Wine (Grape wine),Red Wine - Single Varietals,N.A.,15.00%,,,,
Woodcutter's Shiraz 2019,65c62d54876f110ab72a2ab8,OB,Australia,Wine (Grape wine),Red Wine - Single Varietals,N.A.,15.00%,,,,
Red 2021,65c62d54876f110ab72a2ab7,OB,United States,Wine (Grape wine),Red Wine - Blend of Varietals,N.A.,15.00%,,,,
Hanke Baijiu,65c62d54876f110ab72a2ac8,Hanke,China,Baijiu,Sauce Aroma (Jiang Xiang),NAS,53.00%,,,,
The Last Drop No. 26 Petite Champagne Cognac Hors D’Age Distilled c. 1950,65c62d54876f110ab72a2ac8,The Last Drop,France,Brandy,Cognac - Single Estate,NAS,45.00%,https://88bamboo.co/blogs/whisky-reviews/tasting-the-avengers-of-distilled-spirits-from-the-last-drop-no-22-colin-jp-scott-50-year-old-blended-scotch-no-26-petite-champagne-cognac-no-28-drew-mayville-kentucky-straight-whiskey-blend-no-32-jj-corry-32-year-old-irish-single-malt,Release 26 is a single estate Cognac from the esteemed Petite Champagne terroir – just the fifth Cognac from The Last Drop in 13 years.,,
Barbados Secret Distillery No. 7 2000 Records Series,65c62d54876f110ab72a2ac8,That Boutique-y Rum Company,Barbados,Rum / Rhum,Unknown,21,52.60%,,,,
Won Soju Spirit 원소주,65c62d54876f110ab72a2ac8,IB,South Korea,Soju,Craft,NAS,24.00%,https://88bamboo.co/blogs/everything-nice/won-soju-spirit-%EC%9B%90%EC%86%8C%EC%A3%BC-24-aka-jay-parks-soju?_pos=1&_sid=744871c17&_ss=r,Creative combination of food and mixology presenting diverse drinking experiences with a clean foundation,,
Won Soju Spirit Original 원소주,65c62d54876f110ab72a2ac8,IB,South Korea,Soju,Traditional (Onggi Matured),NAS,22.00%,-,"The new standard of soju flagship product of Won Soju. Additive-free, balanced distilled Soju",,
Won Soju Classic 원소주,65c62d54876f110ab72a2ac8,IB,South Korea,Soju,Craft,NAS,28.00%,-,"True essence of traditional Korea liquor. Rich aroma, deep flavors from craftsmanship with cutting-edge technology",,
Distilled in Sutherland 2000,65c62d54876f110ab72a2ac8,Thompson Brothers,Scotland,Whiskey / Whisky,Single Malt,19,51.70%,https://88bamboo.co/blogs/whisky-reviews/distilled-in-sutherland-clynelish-thompson-bros-51-7-ib-19-years-old-2000-of-181-bottles,,,
Islay Single Malt 1989 Vintage Aged 31 Years,65c62d54876f110ab72a2ac8,Thompson Brothers for M&E Drinks & Whiskyhobo,Scotland,Whiskey / Whisky,Single Malt,31,52.70%,https://88bamboo.co/blogs/whisky-reviews/islay-single-malt-aged-31-years-52-7-abv-bottled-by-thompson-bros-for-m-e-drinks-and-whiskyhobo-singapore-indonesia-exclusive-of-264-bottles,"The Laphroaig distillery was established on Islay in 1815, and today remains the only distillery to hold the Royal Warrant of HRH The Prince of Wales. Laphroaig is famous for being one of the most richly flavoured of all Scotch malts with strong notes of peat, smoke and seaweed.",,
Oishii Gureen Wisukii,65c62d54876f110ab72a2ac8,Highlander Inn,Scotland,Whiskey / Whisky,Single Grain,14,63.90%,https://88bamboo.co/blogs/whisky-reviews/oishii-gureen-wisukii-single-grain-scotch-whisky-14-year-old-63-9-abv-highlander-inn,"Oishii Wisukii is Japanese for ""Delicious Whisky"". The beautiful labels for this series are designed by Japanese designer and artist Takeshi Abe, who also designed several labels for the famous ""Card series"" by Ichiro's Malt.",,
"Obscure Speyside Single Malt, Highlander Inn Maggie's Collection (Taiwan Market)",65c62d54876f110ab72a2ac8,Highlander Inn,Scotland,Whiskey / Whisky,Single Malt,24,59.00%,https://88bamboo.co/blogs/whisky-reviews/maggie-s-collection-obscure-speyside-single-malt-24-year-old-59-0-abv-highlander-inn,"Released under the Maggie’s Collection series, the cask was personally selected by Mr Tatsuya Minagawa for Singapore. Maggie’s Collection is one of Highlander Inn's core ranges. The range takes its name from the well-known local artist Maggie Riegler, whose artwork adorns the labels.",,
Irish Single Malt Whiskey,65c62d54876f110ab72a2ac8,The Swan Song Singapore,Ireland,Whiskey / Whisky,Single Malt,18,48.60%,https://88bamboo.co/blogs/whisky-reviews/irish-single-malt-whiskey-unpeated-cooley-18-years-old-2002-48-6-abv-the-swan-song-of-88-bottles,,,
"Secret Orkney Distillery 2007 ""Sunset Boulevard""",65c62d54876f110ab72a2ac8,"Malt, Grain & Cane",Scotland,Whiskey / Whisky,Single Malt,15,65.80%,https://88bamboo.co/blogs/whisky-reviews/secret-orkney-distillery-highland-park-2007-15-years-old-bottled-by-malt-grain-cane-65-8-abv,"Through a VHS player, we enter the hyper-colored, funky universe of Ardhira Putra, a Singapore-based Indonesian artist who’s been turning his nostalgia into eye-popping works of art. He populates his illustrations and animations with characters, ad tags, and pop visuals inspired by the 1980s and 90s—all with a backdrop of swaying palm trees. This city pop style acts as a throwback to his beloved boyhood and the heydays of laissez-faire capitalism in Asia.",,
"Irish Single Malt Whiskey 2002, 18 Years Old, ""Saudade""",65c62d54876f110ab72a2ac8,"Malt, Grain & Cane",Ireland,Whiskey / Whisky,Single Malt,18,50.20%,https://88bamboo.co/blogs/whisky-reviews/saudade-irish-whiskey-2002-18-years-old-bottled-by-malt-grain-cane-50-2-abvv,"Saudade (English: /ˌsaʊˈdɑːdə/, European Portuguese: [sɐwˈðaðɨ], Brazilian Portuguese: [sawˈdad(ʒ)i], Galician: [sawˈðaðɪ]; plural saudades) is a deep emotional state of nostalgic or profound melancholic longing for something or someone that one cares for and/or loves.",,
Islay Single Malt 1990 Vintage Aged 32 Years,65c62d54876f110ab72a2ac8,Thompson Brothers for M&E Drinks & Whiskyhobo,Scotland,Whiskey / Whisky,Single Malt,32,49.30%,https://88bamboo.co/blogs/whisky-reviews/thompson-bros-islay-single-malt-scotch-whisky-1990-32-years-old-49-3-abv,,,
"Speyside Distilleries 1997, Nanyang Whisky The Peninsula Collection II",65c62d54876f110ab72a2ac8,Nanyang Whisky / REJO Beverages,Scotland,Whiskey / Whisky,Blended Malt,25,53.50%,https://88bamboo.co/blogs/whisky-reviews/nanyang-whisky-the-peninsula-collection-ii-secret-speyside-1997-ben-nevis-1996-tdl-trinidad-2002-rum,,,
The Last Drop No. 22 Colin JP Scott Signature Blend 50 Year Old,65c62d54876f110ab72a2ac8,The Last Drop,Scotland,Whiskey / Whisky,Blended Malt & Grain,50,47.20%,https://88bamboo.co/blogs/whisky-reviews/tasting-the-avengers-of-distilled-spirits-from-the-last-drop-no-22-colin-jp-scott-50-year-old-blended-scotch-no-26-petite-champagne-cognac-no-28-drew-mayville-kentucky-straight-whiskey-blend-no-32-jj-corry-32-year-old-irish-single-malt,"Created by Master Blender Colin JP Scott, this release, just the 22nd since the company was founded in 2008, is The Last Drop’s inaugural Signature Blend, marking their first foray into the creation, as well as curation, of remarkable spirits.",,
The Last Drop No. 32 Signature Creation 32 Years Old Single Malt Irish Whiskey,65c62d54876f110ab72a2ac8,The Last Drop,Ireland,Whiskey / Whisky,Single Malt,32,46.40%,https://88bamboo.co/blogs/whisky-reviews/tasting-the-avengers-of-distilled-spirits-from-the-last-drop-no-22-colin-jp-scott-50-year-old-blended-scotch-no-26-petite-champagne-cognac-no-28-drew-mayville-kentucky-straight-whiskey-blend-no-32-jj-corry-32-year-old-irish-single-malt,"OUR THIRD SIGNATURE CREATION. With the formation of The Last Drop Assembly in 2020, The Last Drop embarked on a journey to create – as well as curate – some of the world’s most remarkable spirits. We are therefore delighted to present our third Signature Creation, a 32 year old Single Malt Irish Whiskey, selected, married and finished by the founder of JJ Corry Irish Whiskey and founder member of The Assembly, Louise McGuane. The release marks The Last Drop Distillers’ first release in the Irish whiskey category, and continues its mission to curate and create remarkable spirits from across the panoply of aged spirits categories.",,
Valbuena 5º 2014,65c62d54876f110ab72a2ace,OB,Spain,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.50%,,,,
Valbuena 5º 2015,65c62d54876f110ab72a2ace,OB,Spain,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.50%,,,,
Brut (Carte Jaune) Champagne N.V.,65c62d54876f110ab72a2acc,OB,France,Wine (Grape wine),"Sparkling White (Incl Champagne) - Blend of Varietals, NOT natural wine",N.A.,12.00%,,,,
Ichiro's Malt Double Distilleries,65c62d54876f110ab72a2abb,OB,Japan,Whiskey / Whisky,Blended Malt,NAS,46.50%,https://88bamboo.co/blogs/whisky-reviews/ichiros-malt-double-distilleries,,,
Ichiro's Malt Leaf Series Mizunara Wood Reserve (MWR),65c62d54876f110ab72a2abb,OB,Japan,Whiskey / Whisky,Blended Malt,NAS,46.50%,https://88bamboo.co/blogs/whisky-reviews/the-heart-of-ichiros-malt-leaf-series-mizunara-wood-reserve-mwr-double-distilleries-wine-wood-reserve-malt-grain-world-blended-whisky,,,
Ichiro's Malt & Grain World Blended Whisky,65c62d54876f110ab72a2abb,OB,Japan,Whiskey / Whisky,Blended Malt & Grain,NAS,46.50%,https://88bamboo.co/blogs/whisky-reviews/the-heart-of-ichiros-malt-leaf-series-mizunara-wood-reserve-mwr-double-distilleries-wine-wood-reserve-malt-grain-world-blended-whisky,,,
Ichiro's Malt Leaf Series Double Distilleries,65c62d54876f110ab72a2abb,OB,Japan,Whiskey / Whisky,Blended Malt,NAS,46.50%,https://88bamboo.co/blogs/whisky-reviews/the-heart-of-ichiros-malt-leaf-series-mizunara-wood-reserve-mwr-double-distilleries-wine-wood-reserve-malt-grain-world-blended-whisky,,,
Ichiro's Malt Leaf Series Wine Wood Reserve,65c62d54876f110ab72a2abb,OB,Japan,Whiskey / Whisky,Blended Malt,NAS,46.50%,https://88bamboo.co/blogs/whisky-reviews/the-heart-of-ichiros-malt-leaf-series-mizunara-wood-reserve-mwr-double-distilleries-wine-wood-reserve-malt-grain-world-blended-whisky,,,
Cava Brut Selección N.V.,65c62d54876f110ab72a2ac1,OB,Spain,Wine (Grape wine),"Sparkling White (Incl Champagne) - Blend of Varietals, NOT natural wine",N.A.,11.50%,,,,
Prosecco Il Fresco Spumante N.V.,65c62d54876f110ab72a2acf,OB,Italy,Wine (Grape wine),"Sparkling White (Incl Champagne) - Single Varietal, NOT natural wine",N.A.,11.00%,,,,
Cabernet Sauvignon - Merlot 2010,65c62d54876f110ab72a2acd,OB,Australia,Wine (Grape wine),Red Wine - Blend of Varietals,N.A.,,,,,
10 Year Old Tawny Port N.V.,65c62d54876f110ab72a2ab9,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Blend of Varietal ",N.A.,20.00%,,,,
20 Year Old Tawny Port N.V.,65c62d54876f110ab72a2ab9,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Single Varietal ",N.A.,20.00%,,,,
30 Year Old Tawny Port N.V.,65c62d54876f110ab72a2ab9,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Single Varietal ",N.A.,20.00%,,,,
Fine Ruby Port N.V.,65c62d54876f110ab72a2ab9,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Blend of Varietal ",N.A.,19.00%,,,,
40 Year Old Tawny Port N.V.,65c62d54876f110ab72a2ab9,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Single Varietal ",N.A.,20.00%,,,,
Fine White Port N.V.,65c62d54876f110ab72a2ab9,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Blend of Varietal ",N.A.,19.00%,,,,
Late Bottled Vintage Port 2017,65c62d54876f110ab72a2ab9,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Single Varietal ",N.A.,20.00%,,,,
Blend No 5 White Port Meio Seco N.V.,65c62d54876f110ab72a2ab9,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Blend of Varietal ",N.A.,19.00%,,,,
Westland American Single Malt,65c62d54876f110ab72a2abd,OB,United States,Whiskey / Whisky,Single Malt,NAS,46.00%,https://88bamboo.co/blogs/whisky-reviews/westland-flagship-american-single-malt-whiskey,"Our flagship American Single Malt Whiskey honors the traditions of distilling that we admire and adds something worthwhile at the same time. Something new and distinctly American. And so we head out, with ambition and resolve, to build our future and to shape our West.",,
Wild Turkey Rare Breed Barrel Proof,65c62d54876f110ab72a2ac3,OB,United States,Whiskey / Whisky,Bourbon Whisk(e)y,NAS,58.40%,https://88bamboo.co/blogs/whisky-reviews/wild-turkey-rare-breed-barrel-proof,"The bold spirit of Wild Turkey is faithfully represented in every drop of this authentic barrel proof whiskey—the original “small batch” barrel proof bourbon. A blend of our finest selection of 6-, 8-, and 12-year bourbon, no water is added before bottling, for a curated sipping experience like drinking straight from the cask.",,
Willett Family Estate 6 Year Old Single Barrel #8281,65c62d54876f110ab72a2ac5,OB,United States,Whiskey / Whisky,Bourbon Whisk(e)y,6,62.70%,https://88bamboo.co/blogs/whisky-reviews/willett-family-estate-6-year-old-single-barrel-bourbon-8281-62-7-abv,,,
Willowbank 17 Years Old Batch 1,65c62d54876f110ab72a2ac6,That Boutique-y Whisky Company,New Zealand,Whiskey / Whisky,Single Blended (Malt & Grain from the Same Distillery),17,53.80%,https://88bamboo.co/blogs/whisky-reviews/willowbank-17-year-old-batch-1-that-boutique-y-whisky-company-tbwc-53-8-ib-of-307-bottles,"We've searched high, we've searched low, we've searched between high and low, and we've found what we were looking for - whisky from New Zealand for us to bottle! While New Zealand might be more famous for wines, the Willowbank once produced incredible whiskies on the South Island, though it closed back in 1997. The distillery, we mean. Not New Zealand's South Island. ",,
Willowbank 18 Years Old Batch 2,65c62d54876f110ab72a2ac6,That Boutique-y Whisky Company,New Zealand,Whiskey / Whisky,Single Blended (Malt & Grain from the Same Distillery),17,50.50%,,"This is our second batch of Blended Whisky  from this long closed New Zealand distillery. It’s an 18 Year Old, bottled at 50.5% abv.",,
Woodford Reserve Straight Bourbon Whiskey,65c62d54876f110ab72a2ac7,OB,United States,Whiskey / Whisky,Bourbon Whisk(e)y,NAS,43.20%,https://88bamboo.co/blogs/whisky-reviews/woodford-reserve-distillers-select-kentucky-straight-bourbon-whiskey-43-2-abv,"The art of making fine bourbon first took place on the site of the Woodford Reserve Distillery, a National Historic Landmark, in 1812. The perfectly balanced taste of our Kentucky Straight Bourbon Whiskey is comprised of more than 200 detectable flavor notes, from bold grain and wood, to sweet aromatics, spice, and fruit & floral notes.",,
Wu Liang Ye Crystal 五粮液,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),NAS,52.00%,,,,
Wu Liang Ye Tequ 五粮液特曲,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),NAS,52.00%,,,,
Wu Liang Ye Red Box 五粮液海外市場,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),NAS,52.00%,,,,
Wu Liang Ye Chun 五粮液醇,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),NAS,50.00%,,,,
Wu Liang Ye Yuan Ding Jing Sheng,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),NAS,52.00%,,,,
"Wu Liang Ye Yuan Friendship ""You Jiu""",65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),NAS,52.00%,,,,
Wu Liang Ye 15 Years Old,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),15,50.00%,,,,
Wu Liang Ye 30 Years Old,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),50,50.00%,,,,
Wu Liang Ye 50 Years Old,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),50,50.00%,,,,
Wu Liang Jing Dian 五粮液經典,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),NAS,52.00%,,,,
Wu Liang Chun 五粮春,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),NAS,45.00%,,,,
Wu Liang Ye 1618,65c62d54876f110ab72a2ac9,OB,China,Baijiu,Strong Aroma (Nong Xiang),NAS,52.00%,,,,
Y Series Unwooded Chardonnay 2022,65c62d54876f110ab72a2ad1,OB,Australia,Wine (Grape wine),White Wine - Single Varietal,N.A.,12.50%,,,,
Woorisool Chestnut Makgeolli,65c62d54876f110ab72a2acb,OB,South Korea,Makgeolli & Korean Rice Wines,Modern (Grocery store makgeolli),NAS,6.00%,,,,
Woorisool Sweet Corn Makgeolli,65c62d54876f110ab72a2acb,OB,South Korea,Makgeolli & Korean Rice Wines,Modern (Grocery store makgeolli),NAS,6.00%,,,,
Woorisool Jeju Tangerine Makgeolli,65c62d54876f110ab72a2acb,OB,South Korea,Makgeolli & Korean Rice Wines,Modern (Grocery store makgeolli),NAS,6.00%,,,,
West 32 Original,65c62d54876f110ab72a2abc,OB,United States,Soju,Craft,NAS,19.90%,-,"Our New York craft soju is triple carbon filtered for a smooth texture and clean taste. Only 19.9% ABV and 32 calories per ounce, West 32 Original is the perfect spirit to celebrate any occasion. Enjoy it on its own or in your favorite cocktail.",,
West 32 Reserve,65c62d54876f110ab72a2abc,OB,United States,Soju,Barrel Aged,NAS,32.00%,-,"Reserve is the first American barrel-aged soju. Aged in American white oak whiskey barrels, at 32% ABV, West 32 Reserve has the smooth texture of the Original with a subtle flavor of oak, vanilla, and nutmeg. ",,
Pink Moscato N.V.,65c62d54876f110ab72a2ad5,OB,Australia,Wine (Grape wine),Rosé - Single Varietal,N.A.,7.50%,,,,
Shiraz 2021,65c62d54876f110ab72a2ad5,OB,Australia,Wine (Grape wine),Red Wine - Single Varietal,N.A.,13.50%,,,,
Reserve Shiraz 2021,65c62d54876f110ab72a2ad5,OB,Australia,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.00%,,,,
"Yoichi Non-Peated, Nikka Discovery Collection Series 2021 Volume 1",65c62d54876f110ab72a2ad4,OB,Japan,Whiskey / Whisky,Single Malt,NAS,47.00%,https://88bamboo.co/blogs/whisky-reviews/nikka-discovery-series-2021-yoichi-non-peated-vs-miyagikyo-peated,"This limited edition of Yoichi single malt was introduced in 2021 as the first of the “Nikka Discovery” series. In anticipation of Nikka Whisky’s 90th Anniversary, the series offers an inside look at the various experiments in the whisky-making process that Nikka has practiced over the years.",,
Yoichi Grande,65c62d54876f110ab72a2ad4,OB,Japan,Whiskey / Whisky,Single Malt,NAS,48.00%,https://88bamboo.co/blogs/whisky-reviews/nikka-grandes-yoichi-grande-and-miyagikyo-grande,,,
"Yoichi Aromatic Yeast, Nikka Discovery Collection Series 2022 Volume 2",65c62d54876f110ab72a2ad4,OB,Japan,Whiskey / Whisky,Single Malt,NAS,48.00%,https://88bamboo.co/blogs/whisky-reviews/nikka-discovery-series-2022-vol-2-yoichi-miyagikyo-aromatic-yeast,,,
Yoichi 10 Year Old 2022,65c62d54876f110ab72a2ad4,OB,Japan,Whiskey / Whisky,Single Malt,10,45.00%,https://88bamboo.co/blogs/whisky-reviews/yoichi-10-year-old-2022-re-release-45-abv,,,
